body,title,url
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


PruébaT, plataforma desarrollada de la Fundación Carlos Slim, ofrece de forma gratuita contenidos, ejercitadores y exámenes simuladores, a través de los cuales los niños y adolescentes pueden continuar con su aprendizaje durante la cuarentena del coronavirus.
El examen simulador de bachillerato considera los siguientes ejercicios por tema: 


Razonamiento verbal


Razonamiento matemático


Español


Matemáticas


Física


Química


Biología


Historia de México


Historia Universal


Geografía


Formación cívica


Inglés 


Además de estos ejercicios, se ofrecen algunos tips para estudiar para el examen de admisión a bachillerato:


Preguntas de cuestionamiento directo


Preguntas de elección de elementos


Preguntas de relación de elementos


Preguntas de jerarquización


Preguntas de completamiento


Preguntas de habilidad verbal


Preguntas lógico-matemáticas


Círculos de estudio


Mapas mentales


Palacio mental


Recomendaciones antes del examen


Si bien el examen varía de acuerdo a la institución educativa a la que los estudiantes aspiren, ya sea la evaluación del Concurso de Asignación a la Educación Media Superior de la Zona Metropolitana de la Ciudad de México (COMIPEMS) o la evaluación EXANI I, las áreas de conocimiento en ambos exámenes son muy similares.
Todos los contenidos se diseñaron para ayudar a los aspirantes a complementar sus sesiones de estudio y poner a prueba sus avances con el simulador, el cual les permitirá conocer sus resultados inmediatamente e incluso podrán practicar y resolverlo cuantas veces deseen, ya que encontrarán preguntas diferentes en cada intento.
Los materiales disponibles en PruébaT se ofrecen sin costo alguno. 
MÁS INFORMACIÓN:
Regreso a clases presenciales, lo que debes saber | Coronavirus 
Coronavirus obliga a que la SEP ajuste el ciclo escolar
¿Dónde se reanudan las clases por coronavirus el 17 de mayo?
10 cursos gratis para aprovechar la cuarentena del coronavirus
Así puedes cobrar tu beca SUBES: Guía paso a paso | Becas AMLO
 
 
",Examen simulador de bachillerato con PruébaT de Fundación Carlos Slim,http://www.unionpuebla.mx/articulo/2020/04/27/educacion/examen-simulador-de-bachillerato-con-pruebat-de-fundacion-carlos-slim
"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


La Universidad Nacional Autónoma de México (UNAM) creó un sitio dedicado dedicado a las estadísticas del coronavirus Covid-19 en México llamado covid19.ciga.unam.mx
En este portal se puede ver las cifras a nivel nacional de casos acumulados y muertes, incidencias, mortalidad y letalidad todo esto en una mapa.
También se pueden observar los números de casos de coronavirus Covid-19 a nivel estatal y municipal.
Número de coronavirus en municipios del Edomex
Dicha pagina señala que en el reporte del 10 de mayo a las 18:49 horas, en el Estado de México existen 5 mil 988 casos confirmados acumulados, mil 349 activos y 496 defunciones. 
Por ello, te decimos los municipios con más casos acumulados de coronavirus en el Estado de México. 

Nezahualcóyotl con 797
Ecatepec con 769
Naucalpan con 486
Tlalnepantla con 372
Chimalhuacan con 314
Chalco con 252
Ixtapaluca con 213
Toluca con 201
Tultitlán con 198
Atizapán de Zaragoza con 193
Cuautitlán Izcalli con 189
Tecámac con 185
Nicolás Romero con 174
Valle de Chalco con 152
Huixquilucan con 131
La Paz con 122
Cuautitlán con 108
Coacalco con 102
Texcoco con 86
Metepec con 73
Chicoloapan con 58
Zumpango con 52
Atizapán con 50
Ixtlahuaca con 49
Tultepec con 47
Acolman con 31
Lerman con 27
Zinacantepec con 27
Amecameca con 23
Huehuetoca con 23

Ahora bien, los casos activos en la entidad mexiquense de Covid-19 según la UNAM son los siguientes: 

Nezahualcóyotl con 189
Ecatepec con 173
Naucalpan con 128
Tlalnepantla con 82
Toluca con 64
Chimalhuacan con 57
Chalco con 55
Ixtapaluca con 53
Cuautitlán Izcalli con 46
Tultitlán con 44
Tecámac con 42 
Atizapán de Zaragoza con 39
Nicolás Romero con 32
Metepec con 31 
La Paz con 29
Coacalco con 25
Valle de Chalco con 18
Huixquilucan con 17
Cuautitlán con 16
Atizapán con 11
Ixtlahuaca con 11
Zumpango con 11
Texcoco con 10 
Acolman con 8 
Tultepec con 8
Almoloya de Juárez con 7
Amecameca con 7
Chicoloapan con 7
Lerma con 7
Zinacantepec con 7

Mientras que los municipios con mayor decesos son los siguientes:

Nezahualcóyotl con 58
Ecatepec con 50
Chimalhuacán con 34
Valle de Chalco con 31 
Atizapán de Zaragoza con 27
Naucalpan con 26
Tlalnepantla con 26
Nicolás Romero con 19
Chalco con 17
Ixtapaluca con 17
Tecámac con 15 
Tultitlán con 15
Ixtlahuaca con 14
Cuautitlán Izcalli con 14
La Paz con 11
Toluca con 10
Cuautitlán con 7 
Zumpango con 7 
Texcoco con 6
Tultepec con 6
Coacalco con 5
Huixquilucan con 5 
Atizapán con 4
Atlacomulco con 4
Capulhuac con 3

Te Puede Interesar: 
¿Cuántos casos hay de coronavirus en Edomex? | MAPA
",Municipios con coronavirus en Edomex | MAPA UNAM ,http://www.unionedomex.mx/articulo/2020/04/28/salud/municipios-con-coronavirus-en-edomex-mapa-unam
"
La OMS se congratuló el lunes de la remisión de la pandemia del nuevo coronavirus en varios países, pero instó a ejercer ""vigilancia extrema"" en periodo de desconfinamiento.
Una parte de Europa, entre ellos Francia y España, empezaron el lunes a suavizar las medidas de restricción de la circulación de las personas adoptadas para frenar la propagación del virus y evitar el colapso de sus sistemas de salud.
El desconfinamiento es señal del ""éxito"" de los esfuerzos realizados para ""frenar el virus y salvar vidas"", estimó el director general de la Organización Mundial de Salud (OMS), Tedros Adhanom Ghebreyesus, en una conferencia de prensa telemática desde la sede de la agencia en Ginebra.
El responsable de las emergencias sanitarias en la OMS, Michael Ryan, también señaló que hay motivos para la ""esperanza"", pero conminó a los países afectados a que den muestras de ""vigilancia extrema"".
Lee también: Cuba registra 18 casos nuevos de Covid-19; se mantiene a la baja
Mientras que hay países que ""realizaron inversiones significativas para mejorar su capacidad de salud pública durante el confinamiento, otros no"".
""Si la enfermedad persiste a nivel bajo en los países que no tienen la capacidad de estudiar los focos, identificarlos, existe el riesgo de que la enfermedad resurja"", alertó.
Algunos países se lanzaron ""a ciegas"" al desconfinamiento sin dotarse de los medios para hacer pruebas y rastrear los casos sospechosos cuando todavía estaban a tiempo, lamentó.
Lee también: Largas filas en tiendas de ropa de Francia tras gradual reapertura de comercios
Los responsables de la OMS reiteraron que la vuelta a la normalidad, con los conocimientos epidemiológicos actuales, no puede basarse en una hipotética ""inmunización colectiva"".
""Los estudios serológicos preliminares muestran que una porción relativamente baja de la población tiene anticuerpos de Covid-19"", dijo Tedros, lo que significa que la ""mayor parte de la población sigue expuesta al virus"".
saul/fml
","OMS pide ""vigilancia extrema"" ante desconfinamiento por Covid-19",http://www.eluniversal.com.mx/mundo/oms-pide-vigilancia-extrema-ante-desconfinamiento-por-covid-19
"

En el estado de Puebla se han registrado 145 decesos y mil 068 casos confirmados de coronavirus al 10 de mayo.

Además, en Puebla se tiene registro de mil 879 casos negativos y 405 casos sospechosos.

La tasa de incidencia de Covid-19 en Puebla es de 16.17 casos por cada 100 mil habitantes.

Al 10 de mayo van 35 mil 22 casos confirmados de Covid-19 y 3 mil 465 muertes por coronavirus en México, informó la Secretaría de Salud del gobierno federal.

Cronología. Coronavirus en Puebla

10 de marzo. Se confirmó el primer caso de coronavirus en Puebla, cuando un proveedor externo de la planta de Volkswagen que viajó a Italia dio positivo en la prueba.

18 de marzo. El gobierno del estado de Puebla informó que una familia que viajó a Estados Unidos dio positivo en Covid-19, pero ocultaron sus síntomas y eso obligó a que 140 personas tuvieran que estar en cuarentena.

14 de marzo. La SEP Puebla anuncia la suspensión de clases a partir del 20 de marzo, como medida para prevenir contagios de Covid-19.

20 de marzo. Las armadoras Volkswagen y Audi, ambas ubicadas en Puebla, decidieron suspender operaciones debido a la pandemia de Covid-19.

25 de marzo. Miguel Barbosa, gobernador de Puebla, declaró que los pobres son inmunes al coronavirus. ""La mayoría son gente acomodada, ¿sí lo saben o no? Si ustedes son ricos tienen el riesgo, si ustedes son pobres no. Los pobres estamos inmunes"", afirmó Barbosa Huerta.

30 de marzo. Miguel Barbosa informó la reconversión de cinco hospitales del estado para que atiendan a enfermos de coronavirus.

29 de marzo. Se registra la primera muerte po Covid-19 en Puebla.

31 de marzo. La SEP Puebla anunció que la reanudación de clases se pospone al 31 de abril.

10 de abril. Puebla 15 muertos por coronavirus.

15 de abril. Mueren dos sacerdotes a causa de coronavirus en Puebla.

27 de abril Un guardia fue baleado en una tienda del municipio de Cuautlancingo, tras pedir el uso de cubrebocas.

Los datos para este contenido se basan en el reporte y mapa de casos de Covid-19 que elabora la Dirección General de Epidemiología, y que se actualiza diariamente después de las 19 horas.

Lee también: Dónde reportar reuniones durante la cuarentena en Puebla

Con información de UN1ÓN Puebla

Gráfica. Casos de coronavirus en Puebla al 10 de mayo

Casos de coronavirus en PueblaInfogram
",Casos confirmados de Covid-19 en Puebla al 10 de mayo,http://www.eluniversal.com.mx/estados/coronavirus-puebla-casos-confirmados-de-covid-19-al-10-de-mayo
"LA PAZ.– A gritos, una pasajera acusó a Hugo Javier de ser un violador. Ella no comprobó el ataque, pero los habitantes de la colonia El Pino, en Los Reyes La Paz le creyeron y agarraron a golpes al taxista.
Antes de las 6:00 de la mañana de este domingo, una joven abordó el taxi que conducía Hugo Javier.
Él la trasladó a las calles de dicha colonia, en el Estado de México, pero ella, al descender se negó a pagar por el servicio.
Tras reclamar el ruletero para que le pagara, la mujer comenzó a pedir ayuda. Ella acusaba al hombre de haberla violado.
Alertados por los gritos de la pasajera, los habitantes de la zona salieron de sus domicilios para auxiliar a la presunta víctima.
Por eso, ellos detuvieron al hombre y comenzaron a golpearlo, mientras pedían ayuda de los policías municipales. Al llegar al sitio, los agentes intentaron llevarse a ambas personas a la agencia ministerial.
Los policías le pidieron a la mujer que denunciara al supuesto violador, pero ella se negó a hacerlo.
El hombre tampoco interpuso una denuncia por lo ocurrido. Él sólo pidió que la mujer pagara el dinero que le debía por haberla llevado.
",,https://www.elgrafico.mx/la-roja/mujer-acusa-taxista-de-violacion-para-no-pagar-el-viaje-y-lo-linchan-en-edomex
"

De cara al comienzo de la etapa más crítica de la contingencia por Covid-19 y en la que las autoridades prevén el pico de contagios, la Ciudad de México despertó ayer con dos realidades:

La capital del país, en sus puntos considerados neurálgicos por su actividad comercial, experimentó un vacío casi sepulcral, lejos del trajín cotidiano que no hace mucho aún se vivía.

Pero para otras zonas, pareciera que poco importa que el país atraviese los días críticos en los que se alerta de un alza exponencial en la cantidad de personas infectadas durante los próximos 11 días.

Por un lado, el temor al coronavirus hizo que millones de mexicanos se confinaran en casa para evitar cualquier contagio, pero también otro sector de la población salió a la calle y realizó sus actividades como en cualquier época del año.
 Puedes leer: Médicos cubanos apoyarán en CDMX

Las alcaldías Azcapotzalco y Miguel Hidalgo son dos de las zonas donde se mantiene un ritmo frenético. Ya sea para trabajar, realizar trámites o distraerse, hombres y mujeres, junto con niños y adultos mayores, dejaron sus hogares en el punto más álgido de la emergencia sanitaria y se enfilaron al exterior.

Aunque el cubrebocas ya forma parte de la cotidianidad de muchos mexicanos, todavía hay quien se rehúsa a utilizar este insumo porque no cree en la enfermedad e incluso ayer personas aseguraron desconocer la etapa en la que se encuentra la pandemia en la Ciudad.

Quienes aún salen a la calle lo hacen por un motor económico: no pueden dejar de trabajar porque, si lo hacen, dicen que no tendrán dinero para alimentar a la familia y cubrir sus necesidades. Es por eso que el transporte público de las áreas norponiente y oriente de la capital del país se mantuvieron con baja afluencia de gente, pero constante en la mañana y en la tarde.

De igual forma, en las esquinas donde el gobierno capitalino colocó letreros para alertar sobre las zonas de alto contagio, los mercados y negocios de comida rápida siguieron operando y las personas hacían fila para comprar sus alimentos.
 Algunas calles del Centro Histórico registraron cierta aglomeración, pese a la etapa crítica de la pandemia por coronavirus. Foto: GERMAN ESPINOSA. EL UNIVERSAL
  

El nuevo esfuerzo de las autoridades locales para contener el vaivén de la gente se concentra en el Metro, donde algunos payasos exhortan a los usuarios a resguardarse en sus casas; sin embargo, esa insistencia parece no haber aplanado la curva de las necesidades económicas de los ciudadanos.
 Lee también: Angélica va de CDMX a Edomex con un garrafón en la cabeza

“Salimos y sabemos que aquí está el virus, pero como dicen: ‘Si te quedas en la casa, nadie te va a llevar lo que necesitas, ni el gobierno ni mucho menos la gente’; debemos trabajar para sobrevivir”, comentó Héctor Eduardo, comerciante que vende pastelitos y regala café.

Lugares paralizados

Contrario a esta situación, el Centro de la Ciudad es el área donde se puede ver mejor el efecto de la Jornada Nacional de Sana Distancia. Ahí, los espacios que regularmente se abarrotan de gente permanecieron cerrados y desolados.

En los alrededores de la Plaza de la Constitución a cuentagotas hubo presencia de autos y eran muy pocos quienes salían de la estación del Metro Zócalo. Elementos de seguridad pública han acordonado las principales vialidades que rodean Palacio Nacional, sede de la Presidencia de la República, por lo que nadie puede caminar libremente.
 En la Plaza de la Constitución ayer reinó un silencio sepulcral; la poca gente que salió de la estación de Metro Zócalo le dio algo de color al gris de la plancha. Foto: GERMAN ESPINOSA. EL UNIVERSAL
  

Esta misma soledad se extiende sobre Paseo de la Reforma, una de las avenidas más transitadas y que ayer contó con mucha menor afluencia.
 Te puede interesar: Punto por punto, los 89 sitios considerados de alto contagio de Covid-19 en la CDMX

Las calles aledañas a esta avenida, que cuentan con bares, restaurantes y oficinas, también han estado desiertas desde finales de marzo, cuando las autoridades sanitarias decretaron cuáles serían las actividades esenciales que podrían seguir operando.

Sólo las personas que aún salen a hacer ejercicio o pasear a sus mascotas le dan vida al lugar.

“Sí nos preocupa el coronavirus, pero hacer ejercicio nos sirve para despejar nuestra mente y poder seguir haciendo nuestra vida lo más normal posible”, comentó Ramiro.

Esta poca actividad incluso se vivió ayer en los hospitales de Tlalpan, puesto que el personal médico ha logrado convencer a los familiares de los casos positivos que no esperen afuera de los institutos de Salud, sino que ahora se enlaza a toda esta gente a través de llamadas telefónicas o mediante videollamadas.

 
",Las 2 caras de la etapa más crítica de la pandemia en México,https://www.eluniversal.com.mx/nacion/las-2-caras-de-la-etapa-mas-critica-de-la-pandemia-en-mexico
"
Un estudio publicado en la revista estadounidense JAMA Pediatrics reveló nuevos detalles sobre las complicaciones respiratorias que pueden sufrir algunos niños pacientes de Covid-19 ingresados en las unidades de cuidados intensivos a lo largo de Estados Unidos durante la pandemia. 

El estudio analizó 48 casos de 14 hospitales entre finales de marzo y principios de abril, y detalla que dos niños murieron, 18 necesitaron de un ventilador y dos de ellos permanecen con aparatos de respiración asistida tras más de un mes, según apuntó la doctora Lara S. Shekerdemian, jefa de cuidados críticos en el Texas Children's Hospital y autora del estudio. 


The first cross-sectional study of children in N American PICUs with #COVID19. Of 46 PICUs, 35% had admitted children with #COVID19. Most had chronic medical conditions, mortality was 4.2%. Children have better outcomes than adults with severe COVID-19 https://t.co/nvxew1egQX
— JAMA Pediatrics (@JAMAPediatrics) May 11, 2020


El estudio, del que se ha hecho eco el diario The New York Times, refuerza la evidencia de que solo un pequeño porcentaje de niños se ve gravemente afectado por el virus, aunque confirma que algunos pueden enfermarse ""de forma devastadora"", especialmente si cuentan con enfermedades previas. 

Recomendamos 






Aeropuerto de Los Ángeles exige a sus viajeros el uso de mascarillas 


Las nuevas reglas se deben cumplir de forma obligatoria a partir de este 11 de mayo





De hecho, la gran mayoría de los pacientes, unos 40, incluidos los que murieron, tenían afecciones médicas preexistentes y casi la mitad de esos pacientes contaban con trastornos complejos del desarrollo, como parálisis cerebral o se les había practicado tratamientos como traqueotomías o sondas de alimentación, así como cáncer o sistemas inmunodeprimidos por trasplantes de órganos o afecciones inmunológicas. 

La investigación, sin embargo, no ha abordado el misterioso síndrome vinculado al coronavirus del que han alertado las autoridades sanitarias en Nueva York, donde se han registrado al menos 73 casos de niños que han sufrido problemas inflamatorios y cardíacos potencialmente mortales. 

Aunque esos casos se han calificado de ""poco comunes"", el gobernador de Nueva York, Andrew Cuomo, subrayó que se están detectando evidencias de que la COVID-19 está causando ""enfermedades graves"" en niños con síntomas similares a la enfermedad de Kawasaki y a un síndrome parecido a un ""shock tóxico"". 

Según los datos de la universidad Johns Hopkins, Estados Unidos, el país más afectado del mundo por el virus, supera ya los 1.3 millones de casos confirmados, con casi 80,000 fallecidos. 

El estado de Nueva York se mantiene como el gran epicentro de la pandemia, con 337,000 contagios y más de 26,000 decesos. Se estima que solo en la ciudad de Nueva York han muerto más de 19,000 personas. 

Lee 






EU insiste: China ocultó información y almacenó equipo de protección


Fiscales estatales piden al Congreso de EU investigar a China por Covid-19; ""el Gobierno chino, ayudado por la OMS, parece haber engañado intencionadamente al mundo"", dicen 



",,https://www.viveusa.mx/bienestar/estudio-detalla-complicaciones-de-covid-19-en-ninos
"
Para evitar que la pandemia se interponga con el festejo por el Día de las Madres, los integrantes del sector restaurantero anunciaron una gran variedad de promociones, además de que solicitan a la clientela que realice sus pedidos con anticipación, para evitar que salgan todos los repartidores a un mismo tiempo.

Al comprar a los restaurantes locales se ayuda a la economía, declaró Luis Octavio Mata Rivera, presidente por Querétaro de la Cámara Nacional de la Industria Restaurantera (Canirac), pues explicó que todos los restaurantes optan por comprar sus artículos básicos de comercios y productores locales, para respaldarlos, especialmente en la pandemia.

El 10 de mayo siempre ha significado un repunte importante para el sector, de ahí que dijo esperar que lo mismo ocurra este año, aunque existen fuertes dudas de que puedan replicarse las cifras del 2019, cuando en dos días se generó una derrama de entre 50 y 60 millones de pesos.

“Entendemos que en esta situación que estamos pasando no va a ser lo mismo, esperemos que la gente siga pidiendo para llevar y este día se nos incrementan bastante las ventas, ¿cuánto?, no sabemos, porque también la economía de todos los queretanos está un poquito mermada, un poco dañada, entonces, esperemos que sea un buen día para todo el sector restaurantero”.

Es realmente difícil determinar en qué porcentaje podrían verse disminuidas las ventas derivado de la contingencia sanitaria Covid-19. Los restaurantes se enfrentan al mismo panorama, pero mientras que unos registran grandes pérdidas, otros han visto incrementadas sus ventas, tras instalar el servicio a domicilio.

Pedidos, con tiempo. Todos los restauranteros manejarán importantes descuentos y promociones para incentivar a los comensales a que lleven la comida para sus festejos de los negocios locales.

Otro punto importante al que no se enfrentaron los restaurantes el año pasado es el de la restricción a la movilidad. Para evitar que todos los repartidores tengan que salir de los restaurantes a un mismo tiempo, es que en los diferentes negocios ya se realizan llamadas a la lista de clientes para invitarlos a que realicen sus pedidos con tiempo.

Confía que esas promociones también servirán para crecer en algo las ventas del sector.
",Que la gente pida para llevar: Canirac,https://www.eluniversalqueretaro.mx/portada/que-la-gente-pida-para-llevar-canirac
,,https://www.avisooportuno.mx/varios
,Regina Blandón promete no engancharse,http://www.eluniversal.com.mx/espectaculos
